"","MatchID","candidateCount","AltMatchID","DistrictPopPlace","incumbentRunning","likelyIncumbent","districtRawnum","fullCountyId"
"1","0101",21,"0101"," Careysburg",TRUE,"francis-0101",1,"01"
"2","0102",15,"0102"," Johnsonville",TRUE,"kanneh-0102",2,"01"
"3","0103",17,"0103"," Nizohn",TRUE,"twehway-0103",3,"01"
"4","0104",28,"0104"," Wein Town",TRUE,"fahnbulleh-0104",4,"01"
"5","0105",16,"0105"," Paynesville",TRUE,"fallah-0105",5,"01"
"6","0106",17,"0106"," ELWA",FALSE,"",6,"01"
"7","0107",19,"0107"," Westpoint",TRUE,"george-0107",7,"01"
"8","0108",22,"0108"," From Crown Hill to 12 Street",TRUE,"gray-0108",8,"01"
"9","0109",12,"0109"," Sinkor",FALSE,"",9,"01"
"10","0110",19,"0110"," Congo Town",TRUE,"berrian-0110",10,"01"
"11","0111",23,"0111"," Caldwell",TRUE,"nyenka-0111",11,"01"
"12","0112",23,"0112"," Chocolate City",TRUE,"anderson-0112",12,"01"
"13","0113",14,"0113"," New Georgia",TRUE,"joseph-0113",13,"01"
"14","0114",7,"0114"," Clara Town",TRUE,"corneh-0114",14,"01"
"15","0115",16,"0115"," Logan Town",TRUE,"lawrence-0115",15,"01"
"16","0116",15,"0116"," New Kru Town",TRUE,"forh-0116",16,"01"
"17","0117",21,"0117"," Virginia",TRUE,"dakel-0117",17,"01"
"18","0201",6,"0201"," Ganta",TRUE,"koung-0201",1,"02"
"19","0202",15,"0202"," Sanniquellie",TRUE,"tokpah-0202",2,"02"
"20","0203",14,"0203"," Yekepa",FALSE,"",3,"02"
"21","0204",19,"0204","",TRUE,"yealue-0204",4,"02"
"22","0205",13,"0205"," Buutuo",TRUE,"kogar-0205",5,"02"
"23","0206",16,"0206"," Tappita City",TRUE,"toweh-0206",6,"02"
"24","0207",17,"0207"," Saclepea",TRUE,"worlea-0207",7,"02"
"25","0208",10,"0208","",TRUE,"younquoi-0208",8,"02"
"26","0209",12,"0209","",TRUE,"tingban-0209",9,"02"
"27","0301",13,"0301"," Kongo",TRUE,"vincent-0301",1,"03"
"28","0302",13,"0302"," Robertsport",TRUE,"sonii-0302",2,"03"
"29","0303",18,"0303","",TRUE,"kamara-0303kamara-0303",3,"03"
"30","0401",15,"0401"," Botota",TRUE,"mulbah-0401",1,"04"
"31","0402",3,"0402"," Gbarnga South",TRUE,"moye-0402",2,"04"
"32","0403",15,"0403"," Gbarnga",TRUE,"mulbah-0403",3,"04"
"33","0404",15,"0404","",TRUE,"paye-0404",4,"04"
"34","0405",13,"0405"," Suacoco",TRUE,"karfiah-0405",5,"04"
"35","0406",16,"0406"," Salala",TRUE,"corneh-0406",6,"04"
"36","0407",17,"0407"," Bong Mine Town",TRUE,"barclay-0407",7,"04"
"37","0501",3,"0501"," Foya City",FALSE,"",1,"05"
"38","0502",6,"0502"," Vahun",FALSE,"",2,"05"
"39","0503",15,"0503"," Kolahun",TRUE,"massaquoi-0503",3,"05"
"40","0504",11,"0504"," Voinjama",TRUE,"fofana-0504",4,"05"
"41","0505",11,"0505"," Zorzor",FALSE,"",5,"05"
"42","0601",21,"0601"," Duazon",TRUE,"cooper-0601",1,"06"
"43","0602",9,"0602"," Harbel City",TRUE,"zayzay-0602zayzay-0602",2,"06"
"44","0603",16,"0603"," Kakata South",TRUE,"kafi-0603",3,"06"
"45","0604",10,"0604"," Kakata",TRUE,"fofana-0604",4,"06"
"46","0605",8,"0605"," William Town",FALSE,"",5,"06"
"47","0701",16,"0701"," Edina",TRUE,"barchue-0701",1,"07"
"48","0702",17,"0702","",TRUE,"karwor-0702",2,"07"
"49","0703",8,"0703"," Buchanan",TRUE,"smith-0703",3,"07"
"50","0704",12,"0704"," LAC",TRUE,"browne-0704",4,"07"
"51","0705",12,"0705","",TRUE,"siaway-0705",5,"07"
"52","0801",6,"0801"," Tubmanburg",TRUE,"karmo-0801",1,"08"
"53","0802",17,"0802"," Klay",FALSE,"",2,"08"
"54","0803",15,"0803","",TRUE,"siryon-0803",3,"08"
"55","0901",16,"0901"," Grand Cess",FALSE,"",1,"09"
"56","0902",10,"0902"," Sasstown Airport",TRUE,"bartekwa-0902",2,"09"
"57","1001",10,"1001"," Bopolu",TRUE,"koiwood-1001",1,"10"
"58","1002",15,"1002","",TRUE,"gbogar-1002",2,"10"
"59","1003",8,"1003","",TRUE,"lamin-1003",3,"10"
"60","1101",11,"1101","",TRUE,"chea-1101",1,"11"
"61","1102",11,"1102"," Fish Town City",TRUE,"chea-1102",2,"11"
"62","1103",9,"1103","",TRUE,"bardyl-1103",3,"11"
"63","1201",11,"1201"," Zwedru",TRUE,"pennue-1201",1,"12"
"64","1202",13,"1202","",FALSE,"",2,"12"
"65","1203",15,"1203"," Tuzon",TRUE,"grant-1203",3,"12"
"66","1301",13,"1301","",TRUE,"juweh-1301",1,"13"
"67","1302",8,"1302"," River Cess",FALSE,"",2,"13"
"68","1401",12,"1401"," Greenville",TRUE,"kanmoh-1401",1,"14"
"69","1402",7,"1402","",TRUE,"mccauley-1402",2,"14"
"70","1403",7,"1403","",TRUE,"zarzar-1403",3,"14"
"71","1501",13,"1501"," Harper",FALSE,"",1,"15"
"72","1502",10,"1502"," Pleebo",TRUE,"chambers-1502",2,"15"
"73","1503",12,"1503","",TRUE,"roland-1503",3,"15"
